epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.841960570432822,0.3723548780768611,1.3745197648290064,0.5970025744759103
2,0.9090396707901578,0.6807432821386631,1.1956755365900977,0.6549282824567856
3,0.6535797366293551,0.7674365055608003,0.8841258460829126,0.7586428834130196
4,0.5175782015511172,0.8153768219392571,0.7398663286164913,0.7955130562706878
5,0.4367643348453546,0.8424094499067443,0.6741672376250905,0.799006987863185
6,0.39523642994671887,0.859702042414055,0.5920909225787253,0.8242920191246782
7,0.34702478812105897,0.8782610697920744,0.5663475645688931,0.8310959911732255
8,0.3222014282187211,0.882820235326625,0.6062493756572391,0.8360610518573005
9,0.29408519025803237,0.8963135232218102,0.4644091070388862,0.8801949246046341
10,0.2711260135614797,0.9017246540330194,0.47270921185138626,0.869805075395366
11,0.14729133080820198,0.949319579083101,0.2968794356686662,0.9124678190511217
12,0.11995094947182124,0.9575859448755439,0.275131296457222,0.9224898859874955
13,0.11241420699227424,0.9600036841741693,0.27191662552803153,0.9219382125781538
14,0.10413613047164022,0.9618918234359529,0.2639896513439671,0.924972416329533
15,0.09315017422605601,0.9664740150590618,0.29232192642331867,0.9185362265538801
16,0.09087794925342015,0.9673950586013953,0.28918496761799856,0.9220301581463773
17,0.08539291502685148,0.9694443804830872,0.2598973000120699,0.929937477013608
18,0.08165841511429027,0.970181215316954,0.2297659019922304,0.9341669731518941
19,0.0798925437555055,0.971885145870271,0.2222030053973443,0.9345347554247886
20,0.07986336194781506,0.9708029197080291,0.2567750988482748,0.9289260757631482
21,0.06579909116457261,0.9767666766446383,0.252423402939883,0.9297535858771607
22,0.06750980045576477,0.9758226070137465,0.23606724218885322,0.9328797351967636
23,0.06343221703683263,0.9772041723272467,0.22558787803774621,0.9358219933799191
24,0.06196494622273927,0.9780791636924635,0.2620985722575599,0.9312247149687385
25,0.06100047003042827,0.9787238941720969,0.22237602464843415,0.9386723059948511
26,0.062077609580300536,0.9780331115153468,0.2305349444217107,0.9361897756528136
27,0.061704421494091014,0.9772502245043634,0.23299418987689863,0.9348105921294594
28,0.06040843665008292,0.9787238941720969,0.22751204429965696,0.9373850680397205
29,0.059380247746739535,0.9787238941720969,0.22445148586932812,0.9381206325855094
