model,optimizer,best_epoch,best_valid_loss,best_valid_acc,total_training_time
BaselineModel,Adam,2,0.6559287468140775,80.34372865923059,168.0468451976776
ConvNetPlus,SGD,31,0.28573035521940754,91.04256772137491,1813.4013366699219
TinyVGG,RMSprop,2,0.4553473292765292,86.24516275893467,671.3129348754883
EfficientNetV2,Adam,11,0.004531131615780872,99.88049169132711,5230.453048944473
