epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9978477363004064,0.5621358999746713,1.5560251062694128,0.5673961015079073
2,1.0740460130549057,0.6551612977503511,1.1662574719532135,0.672122103714601
3,0.9480697266694355,0.6972760137235487,1.346626009385171,0.6415042294961383
4,0.8857812752142649,0.7159501715443597,1.3611688427229758,0.647020963589555
5,0.8430382891641595,0.7303875290704368,1.0920692245808539,0.7163479220301582
6,0.8125227374090546,0.7415321559326716,1.106310218364362,0.7120264803236485
7,0.7918025287689419,0.748601165120081,1.190370667403829,0.6941890400882678
8,0.7392936955258442,0.7643049575168666,1.1111686794952507,0.727749172489886
9,0.8025813572659961,0.7506965391788897,1.0395566103277771,0.7453107760205958
10,0.7302531962479583,0.7691404361141172,1.0011962398245475,0.7568959176167709
11,0.736795107992153,0.7696930622395173,1.1249976036148766,0.7518389113644722
12,0.7061506630845742,0.778765341131502,1.0053473915651292,0.7578153732990071
13,0.7012721945689993,0.776923254046835,1.2742012729974475,0.733909525560868
14,0.6964220611207893,0.7789034976628519,1.1188506969483998,0.7447591026112541
15,0.5401181144018682,0.8261300052960003,0.9970224120459955,0.7910996689959544
16,0.4919635952515763,0.8401759193165856,1.0221948037037036,0.7891688120632586
17,0.4922872751147641,0.8387022496488521,0.9660756600806274,0.7936741449062156
18,0.4794139418755376,0.843146284740611,0.9582759970555896,0.802317028319235
19,0.4647345903865176,0.8486034677289368,1.006403519590798,0.7914674512688489
20,0.46785512117908695,0.8479126850721868,1.0013214234110623,0.7996506068407503
21,0.44765446343843884,0.8508830504962122,0.960243242382784,0.8093048915042296
22,0.43458064813947017,0.8558106334476961,0.9758034138698796,0.8015814637734462
23,0.42806722896368465,0.8586888945174883,0.9555417973248123,0.8116035307098198
24,0.4334310358278056,0.8573994335582215,0.9606592687735359,0.8090290547995587
25,0.42968627371084556,0.8580902162149715,0.9611817020162496,0.8048915042294962
26,0.4371149947786551,0.8556033986506711,0.960527024152043,0.8066384700257447
27,0.4188346636580379,0.8625112252181721,0.9745083462560646,0.8012136815005517
28,0.4269683475455023,0.85949480761703,0.9755713704119889,0.8076498712762045
29,0.43844608684921144,0.8591954684657717,0.9885734584060563,0.80397204854726
30,0.41697818201288567,0.8612447903474636,0.9734076189179331,0.8063626333210739
31,0.438234967646212,0.8585737640746965,0.9639576043702084,0.8093048915042296
32,0.4176718358755655,0.861613207764397,0.9684248838892926,0.8082015446855462
33,0.4367337746317029,0.8564323378387713,0.9609320595032943,0.80397204854726
